,model,n,e,f
0,v2-base,5,0.6538369059562683,0.370032399892807
1,v2-base,25,0.004508320242166519,0.14111915230751038
2,v2-base,125,0.0013542965753003955,0.08248145133256912
3,v2-base,250,0.001180198392830789,0.07748178392648697
4,v2-base,500,0.001022216398268938,0.0672321543097496
5,v2-amsgrad,5,0.4305119216442108,0.3728052079677582
6,v2-amsgrad,25,0.002932887524366379,0.14334483444690704
7,v2-amsgrad,125,0.0012480391887947917,0.07658953964710236
8,v2-amsgrad,250,0.0010120972292497754,0.06321606785058975
9,v2-amsgrad,500,0.0008857900975272059,0.05501687154173851
10,v2-ema,5,0.5489497184753418,0.3708176016807556
11,v2-ema,25,0.0035398907493799925,0.14437106251716614
12,v2-ema,125,0.0014848766149953008,0.08811946958303452
13,v2-ema,250,0.0012137521989643574,0.07720758765935898
14,v2-ema,500,0.0013950179563835263,0.06834278255701065
15,v2-swa,5,0.010999009944498539,0.3994033634662628
16,v2-swa,25,0.003624612931162119,0.16614869236946106
17,v2-swa,125,0.0014026950811967254,0.08386707305908203
18,v2-swa,250,0.0013210044708102942,0.08001866936683655
19,v2-swa,500,0.0011821746593341231,0.0688357800245285
20,v3_l3,5,0.009138857945799828,0.3417809307575226
21,v3_l3,25,0.0038600144907832146,0.15467886626720428
22,v3_l3,125,0.0019162751268595457,0.08859672397375107
23,v3_l3,250,0.0015693239402025938,0.07320590317249298
24,v3_l3,500,0.0013262535212561488,0.06314829736948013
25,v2_l3,5,0.010188224725425243,0.3769119381904602
26,v2_l3,25,0.0030437461100518703,0.14999115467071533
27,v2_l3,125,0.0013857950689271092,0.08184026926755905
28,v2_l3,250,0.0012175125302746892,0.068675696849823
29,v2_l3,500,0.000988408224657178,0.05863698199391365
30,v1_l3,5,0.010830242186784744,0.3945735692977905
31,v1_l3,25,0.005388925317674875,0.2375507652759552
32,v1_l3,125,0.0030586833599954844,0.14649534225463867
33,v1_l3,250,0.0026078398805111647,0.13282491266727448
34,v1_l3,500,0.0022899159230291843,0.12326141446828842
35,v2_l2,5,0.010201293043792248,0.3293050229549408
36,v2_l2,25,0.0031521364580839872,0.15282684564590454
37,v2_l2,125,0.001339247915893793,0.08432680368423462
38,v2_l2,250,0.0012016636319458485,0.07439883053302765
39,v2_l2,500,0.0009755659848451614,0.06149159371852875
40,v2_l1,5,0.014176877215504646,0.47612103819847107
41,v2_l1,25,0.007239276077598333,0.24563871324062347
42,v2_l1,125,0.0031562657095491886,0.13032162189483643
43,v2_l1,250,0.0024073764216154814,0.1064765602350235
44,v2_l1,500,0.0017539768014103174,0.0884346291422844
45,v2_l0,5,0.020256849005818367,0.5936703085899353
46,v2_l0,25,0.01112030167132616,0.36386820673942566
47,v2_l0,125,0.006060076877474785,0.2427835315465927
48,v2_l0,250,0.004046838264912367,0.21005527675151825
49,v2_l0,500,0.003428458236157894,0.18632307648658752
50,v1_l0,5,0.020784644410014153,0.6197450757026672
51,v1_l0,25,0.010206288658082485,0.3873499631881714
52,v1_l0,125,0.005382369738072157,0.25062867999076843
53,v1_l0,250,0.004413910210132599,0.2234891653060913
54,v1_l0,500,0.0039477176032960415,0.2187901735305786
55,no_rescaling,5,0.012891137041151524,0.6533958911895752
56,no_rescaling,25,0.015752172097563744,1.0045621395111084
57,no_rescaling,125,0.015735024586319923,0.9420408606529236
58,no_rescaling,250,0.01874942146241665,1.39908766746521
59,no_rescaling,500,0.04841502755880356,2.972684621810913
60,rescaling+bessel,5,0.009461501613259315,0.3447405695915222
61,rescaling+bessel,25,0.0030558209400624037,0.15758070349693298
62,rescaling+bessel,125,0.0014936913503333926,0.08495130389928818
63,rescaling+bessel,250,0.0013794153928756714,0.07735852152109146
64,rescaling+bessel,500,0.0012294286862015724,0.06685669720172882
65,no_bessel,5,0.00943454634398222,0.3440377414226532
66,no_bessel,25,0.003116933861747384,0.15747259557247162
67,no_bessel,125,0.001462161773815751,0.0821453332901001
68,no_bessel,250,0.0011717912275344133,0.06889832764863968
69,no_bessel,500,0.001043283031322062,0.059763677418231964
