,Se,Sf,S,Ce,Cf,explosion_mean,explosion_med,explosion_std,explosion_iqr,explosion_25th,num_params,e,f,trainable
2-layer,0.33122482895851135,1.8021066188812256,1.507930260896683,71.32195983274342,126.08891131477766,1955.5333333333333,1796.0,588.9004794637578,880.5,1507.75,615363,0.002010144991800189,0.09009964764118195,0
"2-layer, AMSGrad-only",0.35457611083984375,1.7807575464248657,1.4955212593078615,79.61687829437163,137.21891434914548,2239.7,1948.0,1141.2816494837182,1273.25,1520.25,615363,0.0016126843402162194,0.08672334253787994,1
"2-layer, EMA-only",-0.13124790787696838,1.8656206130981445,1.466246908903122,80.2336400539886,121.96408903538152,1507.1666666666667,1337.0,445.0557565483022,375.75,1206.75,615363,0.004478370770812035,0.09759802371263504,1
"2-layer, baseline",0.12621989846229553,1.9752576351165771,1.605450087785721,80.65023993702505,111.46416588844505,2036.1333333333334,1802.5,757.1888906289856,1024.25,1408.0,615363,0.0026042629033327103,0.09459365904331207,1
3-layer,0.08582232892513275,2.338117837905884,1.8876587361097337,80.58349887192854,82.12355473715712,3639.266666666667,3663.0,1819.7745395275329,3357.25,1929.75,1100405,0.0020602697040885687,0.059912439435720444,0
4-layer,0.18697194755077362,2.480034351348877,2.0214218705892564,86.34047823191901,72.26127557756469,3671.8333333333335,3008.5,1637.7137361606258,3116.5,2351.5,1585447,0.0010559908114373684,0.0566583015024662,0
5-layer,2.1441264152526855,2.3143086433410645,2.280272197723389,10.343361708150681,82.69609703457525,4621.833333333333,5745.0,1634.0036315186367,2479.25,3521.75,2070489,0.0030381239484995604,0.05419006198644638,0
"5-layer, AMSGrad-only",2.2854158878326416,2.3493540287017822,2.3365664005279543,18.4850115175244,78.39553750648247,3617.4666666666667,3432.0,1647.8390809728992,2409.0,2349.75,2070489,0.0025788366328924894,0.05327654257416725,0
"5-layer, EMA-only",1.4069163799285889,2.161782741546631,2.0108094692230223,10.937479924751255,94.4086519315856,2272.266666666667,2050.0,1032.3688839962576,1321.75,1448.0,2070489,0.002301498083397746,0.0655670166015625,0
"5-layer, baseline",2.0182747840881348,2.1331305503845215,2.110159397125244,1.4731444769876663,86.10749905279418,2965.4,2393.5,1544.1890539965495,1639.25,1801.0,2070489,0.0028861628379672766,0.0632205531001091,0
baseline,-1.5284740924835205,-0.6652465462684631,-0.8378920555114746,2.520549835189759,1112.1903007266299,1653.9,1472.5,383.97156414110344,451.25,1385.0,615355,0.005794256925582886,0.12035886943340302,1
non_trainable_bessel,0.3319116234779358,1.7779366970062256,1.4887316823005678,71.20106437450549,130.07624186010412,2342.366666666667,1841.0,1272.7362454863585,1605.25,1435.5,615363,0.002010144991800189,0.09009964764118195,0
rescaling,0.25702452659606934,1.898277759552002,1.5700271129608154,84.5744671224609,114.72799882331773,2842.366666666667,2568.0,1257.210280146383,995.25,2064.75,615363,0.0016016350127756596,0.0908183753490448,1
