,nsamples,label,dataset,test_300K_energy,test_600K_energy,test_1200K_energy,test_300K_forces,test_600K_forces,test_1200K_forces
0,5,"2-layer, baseline",3BPA,0.0074140047654509544,0.01009884849190712,0.012934275902807713,0.25250664353370667,0.3525727689266205,0.5269780158996582
1,25,"2-layer, baseline",3BPA,0.002665966749191284,0.0033291038125753403,0.005785678513348103,0.09205551445484161,0.1408410519361496,0.2480267733335495
2,125,"2-layer, baseline",3BPA,0.0009878273122012615,0.0016592623433098197,0.0037927557714283466,0.045912086963653564,0.0864722952246666,0.18158063292503357
3,250,"2-layer, baseline",3BPA,0.0012781756231561303,0.0016994093311950564,0.003701363690197468,0.03401865437626839,0.06815041601657867,0.16184289753437042
4,500,"2-layer, baseline",3BPA,0.00159085588529706,0.0018196145538240671,0.003683542599901557,0.025711875408887863,0.05443453788757324,0.14627373218536377
5,5,"2-layer, AMSGrad-only",3BPA,0.007805901579558849,0.010451773181557655,0.012943914160132408,0.25308096408843994,0.3534400463104248,0.5275991559028625
6,25,"2-layer, AMSGrad-only",3BPA,0.0034593543969094753,0.0035723126493394375,0.005435268860310316,0.0916789323091507,0.13918426632881165,0.2485623061656952
7,125,"2-layer, AMSGrad-only",3BPA,0.0010748902568593621,0.0016886041266843677,0.0034920440521091223,0.04501498490571976,0.08377070724964142,0.1734149008989334
8,250,"2-layer, AMSGrad-only",3BPA,0.0007413108251057565,0.0012305303243920207,0.00284537929110229,0.03364654630422592,0.06748747080564499,0.15400362014770508
9,500,"2-layer, AMSGrad-only",3BPA,0.0003277152427472174,0.0008126183529384434,0.002546659205108881,0.024966640397906303,0.05253121629357338,0.13289892673492432
10,5,"2-layer, EMA-only",3BPA,0.007757660932838917,0.0104542076587677,0.0129164457321167,0.2543433606624603,0.35470518469810486,0.5287448763847351
11,25,"2-layer, EMA-only",3BPA,0.0026691872626543045,0.0034321623388677835,0.005956890061497688,0.09317030757665634,0.14323174953460693,0.25101974606513977
12,125,"2-layer, EMA-only",3BPA,0.0010196369839832187,0.0017014797776937485,0.0038235518150031567,0.04558464139699936,0.08626117557287216,0.18140217661857605
13,250,"2-layer, EMA-only",3BPA,0.000496764900162816,0.0011405455879867077,0.0033152406103909016,0.0339791476726532,0.06834346055984497,0.1685924082994461
14,500,"2-layer, EMA-only",3BPA,0.003678124165162444,0.0037120492197573185,0.005605592858046293,0.02542971447110176,0.05411255732178688,0.151813343167305
15,5,2-layer,3BPA,0.5220803022384644,0.5244818925857544,0.5364395976066589,0.29618412256240845,0.39961743354797363,0.5796476602554321
16,25,2-layer,3BPA,0.006689597386866808,0.007882634177803993,0.010437637567520142,0.0897851288318634,0.13683150708675385,0.24356089532375336
17,125,2-layer,3BPA,0.0025711616035550833,0.002788962796330452,0.005463998299092054,0.04366997629404068,0.08202210813760757,0.17531564831733704
18,250,2-layer,3BPA,0.010086998343467712,0.010146905668079853,0.011934266425669193,0.03324482962489128,0.06566496193408966,0.15358267724514008
19,500,2-layer,3BPA,0.0009108894737437367,0.001201146049425006,0.0030236903112381697,0.025207769125699997,0.05258721113204956,0.13894735276699066
20,5,3-layer,3BPA,0.6595926284790039,0.6634532809257507,0.6746819615364075,0.2860116958618164,0.37929245829582214,0.5628408193588257
21,25,3-layer,3BPA,0.03352734073996544,0.03494172915816307,0.03781808912754059,0.09316065162420273,0.13902926445007324,0.24222718179225922
22,125,3-layer,3BPA,0.00048802749370224774,0.0011333664879202843,0.002464655553922057,0.033136725425720215,0.06150384247303009,0.13108934462070465
23,250,3-layer,3BPA,0.00043771270429715514,0.0007859718753024936,0.0019375706324353814,0.022375505417585373,0.045814234763383865,0.11220493167638779
24,500,3-layer,3BPA,0.0017338994657620788,0.0017027894500643015,0.0025603368412703276,0.015269774943590164,0.034409299492836,0.09280477464199066
25,5,4-layer,3BPA,0.005859656259417534,0.008795014582574368,0.021410783752799034,0.27282965183258057,0.3665096163749695,0.5643393993377686
26,25,4-layer,3BPA,0.0018851080676540732,0.0029238369315862656,0.006525866221636534,0.09508557617664337,0.1438693255186081,0.25894659757614136
27,125,4-layer,3BPA,0.00041650314233265817,0.001000819494947791,0.002264239825308323,0.031329069286584854,0.05894798785448074,0.1264743059873581
28,250,4-layer,3BPA,0.00039447660674341023,0.0007618190138600767,0.0016848960658535361,0.019682083278894424,0.04129742085933685,0.10194768756628036
29,500,4-layer,3BPA,0.0006164140067994595,0.0007606573635712266,0.001746456604450941,0.012463267892599106,0.029657291248440742,0.08497530221939087
30,5,5-layer,3BPA,0.7463761568069458,0.7506281733512878,0.7640371918678284,0.2745870053768158,0.37007471919059753,0.5587442517280579
31,25,5-layer,3BPA,0.001958439126610756,0.002903685439378023,0.006072899326682091,0.08768105506896973,0.1332361400127411,0.23578748106956482
32,125,5-layer,3BPA,0.0005311054410412908,0.0009813921060413122,0.00211855280213058,0.028654126450419426,0.055016934871673584,0.1215047836303711
33,250,5-layer,3BPA,0.0004611176555044949,0.0007667558966204524,0.00206756335683167,0.018954230472445488,0.040513575077056885,0.10455957055091858
34,500,5-layer,3BPA,0.0027171620167791843,0.002698289230465889,0.003552471986040473,0.013121211901307106,0.030536586418747902,0.0842418298125267
35,5,"5-layer, baseline",3BPA,0.005924619734287262,0.008704673498868942,0.02158536948263645,0.2653445899486542,0.3597368001937866,0.5515561103820801
36,25,"5-layer, baseline",3BPA,0.0019812099635601044,0.0029370500706136227,0.005973664578050375,0.08874871581792831,0.13379676640033722,0.2333916425704956
37,125,"5-layer, baseline",3BPA,0.002780390903353691,0.002834582468494773,0.0036759742069989443,0.03003678098320961,0.05730082839727402,0.12903626263141632
38,250,"5-layer, baseline",3BPA,0.008256226778030396,0.008131955750286579,0.008891033940017223,0.020362703129649162,0.04303263872861862,0.11496986448764801
39,500,"5-layer, baseline",3BPA,0.009401791729032993,0.00922839529812336,0.00985019002109766,0.01607665605843067,0.03487531095743179,0.0987810343503952
40,5,"5-layer, AMSGrad-only",3BPA,0.006080690771341324,0.009015887044370174,0.022134769707918167,0.2658385634422302,0.36075979471206665,0.55362468957901
41,25,"5-layer, AMSGrad-only",3BPA,0.0020725831855088472,0.003111056750640273,0.0065786209888756275,0.08781839907169342,0.13414688408374786,0.23961831629276276
42,125,"5-layer, AMSGrad-only",3BPA,0.0005312105058692396,0.0009946504142135382,0.0021228990517556667,0.028642985969781876,0.055039189755916595,0.12122316658496857
43,250,"5-layer, AMSGrad-only",3BPA,0.0015124572673812509,0.0016193778719753027,0.0028106241952627897,0.019380124285817146,0.040770046412944794,0.10331720113754272
44,500,"5-layer, AMSGrad-only",3BPA,0.00025404227199032903,0.0005600875010713935,0.001913252635858953,0.014441535808146,0.03124190866947174,0.08515287935733795
45,5,"5-layer, EMA-only",3BPA,0.006111455149948597,0.00909882877022028,0.022273769602179527,0.26859480142593384,0.3639780879020691,0.5568028092384338
46,25,"5-layer, EMA-only",3BPA,0.0019134377362206578,0.0028515334706753492,0.0058237421326339245,0.08876693248748779,0.13359802961349487,0.23248708248138428
47,125,"5-layer, EMA-only",3BPA,0.0011267438530921936,0.0014283487107604742,0.002793219406157732,0.029144680127501488,0.056474845856428146,0.13273045420646667
48,250,"5-layer, EMA-only",3BPA,0.0022249312605708838,0.002290721284225583,0.004195507615804672,0.020112957805395126,0.04401214048266411,0.12191817164421082
49,500,"5-layer, EMA-only",3BPA,0.0053000012412667274,0.005256408825516701,0.0036709257401525974,0.014543990604579449,0.03375275060534477,0.10133430361747742
